param_0,param_1,mean,se_mean,std,se_std,p10,se_p10,p25,se_p25,median,se_median,p75,se_p75,p90,se_p90,n_seeds
0.1,0.04419417382415922,204.02406599999998,0.9391348578068642,96.64616357181245,0.8814665342225144,73.87,0.2834331375022042,127.75,0.47426178680581305,201.76,0.927919362571093,279.65,1.7543812400255354,335.77,2.3472681305653333,100
0.1,0.0625,147.202618,0.48970401731505636,68.8219837951001,0.5163110606165183,57.55,0.18055749804704896,92.84,0.2880516227583823,142.48,0.46438402777499277,199.61,0.9567300158520811,242.66,1.3050190601959604,100
0.1,0.08838834764831845,104.858778,0.2716873143727376,46.15921993855256,0.2893290274908607,45.54,0.09365744589575978,68.31,0.16311054688477536,101.28,0.29510484355033667,139.21,0.5176276498008814,168.93,0.7152388878316579,100
0.1,0.125,79.389524,0.12087430365082023,31.585953635678308,0.1284177544909177,39.51,0.059450344274389486,54.66,0.07813482261482715,76.52,0.14666666666666667,102.15,0.23414361473939946,123.37,0.3268011473342618,100
0.1,0.1767766952966369,65.50259,0.06693086035362736,21.94021415188485,0.07886377429004955,37.98,0.03475745687015678,48.61,0.058422010519420774,63.51,0.08586458683722452,81.03,0.1403135018017824,95.97,0.19040361171347395,100
0.1,0.25,58.101328,0.039517712742055774,15.677356716390788,0.05419882132199266,38.61,0.04902071300001973,46.36,0.048241815132442176,56.9,0.04605661864718383,68.77,0.08391313449880264,79.52,0.1290837955075162,100
0.1,0.3535533905932738,54.530102,0.02697072194776845,12.029121464438104,0.04105700631586927,39.57,0.049756985195624305,45.91,0.028762349126466143,53.73,0.04461960433384736,62.55,0.06723244767373875,70.73,0.10035794523463089,100
0.1,0.5,52.736509999999996,0.018335391041547647,9.780678331205875,0.03228032697941046,40.44,0.049888765156985884,45.97,0.017144660799776532,52.15,0.035887028128263665,59.14,0.05128647999524856,65.63,0.07740096311357561,100
0.1,0.7071067811865476,51.843206,0.01428530910418179,8.537465185885665,0.02510400704266768,41.03,0.017144660799776536,45.99,0.01,51.54,0.05009082659620331,57.4,0.0492365963917331,63.0,0.05860327153276884,100
0.1,1.0,51.398452,0.011668089478608206,7.872248486641097,0.022526635497515258,41.41,0.04943110704237103,46.0,0.0,51.0,0.0,56.59,0.04943110704237103,61.71,0.05558685986722932,100
0.125,0.0009765625,247.9192,2.7713007048778673,168.768890059201,3.3209009874200888,44.2,0.4134115273055299,111.56,0.9486108929706776,222.92,2.245474910961504,358.84,4.888612205210114,494.54,8.934536553976566,100
0.125,0.0013810679320049757,242.761222,2.9021069081476556,162.30778866520828,3.5182302506342085,44.14,0.416095365914298,109.86,1.0010116095351953,219.71,2.495988498743251,354.44,5.143031374313375,476.7,9.36370059799484,100
